0	-73.84147612596591
1	-73.74627185253519
2	-73.48906155964973
3	-73.2936688654179
4	-73.24571555987296
5	-73.29650145030722
6	-73.43855420730387
7	-73.75337759661969
8	-74.25553155644496
9	-74.70381334145968
10	-74.83601980504126
11	-74.63926866762918
12	-74.18553184635871
13	-73.74418385398894
14	-73.51186089327132
15	-73.45963064238165
16	-73.51538637271021
17	-73.74727115418311
18	-74.19333214011344
19	-74.63921839405212
20	-74.82906819504177
21	-74.6396920803222
22	-74.19030668066559
23	-73.74418178879306
24	-73.48359405479442
25	-73.4117741817352
26	-73.45648621010142
27	-73.66063027383763
28	-74.03146176129009
29	-74.30277163764102
30	-74.39196628276596
31	-74.19179697997859
32	-73.7399402667049
33	-73.36015586418438
34	-73.20932376733697
35	-73.28402549035675
36	-73.56135081512538
37	-74.07912153037562
38	-74.7431594362445
39	-75.31009919683065
40	-75.58928896474899
41	-75.23874917409144
42	-74.57101823382563
43	-73.9433211707923
44	-73.59743958271027
45	-73.59708120152241
46	-73.93795946170843
47	-74.67042052706705
48	-75.70815057237488
49	-76.72126259861639
50	-77.17704181793918
